Brand,Year,Driven_kms,Fuel_Type,Transmission,Seller_Type,Owner,City,Selling_Price_Lakh
Hyundai,2014,102306,Petrol,Manual,Individual,0,Ahmedabad,0.5
Mahindra,2018,165705,Electric,Manual,Individual,1,Bangalore,2.16
Skoda,2018,70476,Electric,Manual,Individual,1,Kolkata,7.3
Mahindra,2023,26457,Electric,Manual,Dealer,2,Ahmedabad,5.97
Honda,2022,59238,Electric,Automatic,Dealer,1,Mumbai,7.55
Volkswagen,2012,24293,Diesel,Manual,Dealer,1,Bangalore,4.19
Honda,2011,136336,Petrol,Automatic,Individual,1,Ahmedabad,0.5
Toyota,2017,138141,Electric,Automatic,Individual,0,Mumbai,6.81
Tata,2021,115468,Electric,Automatic,Individual,2,Chennai,3.52
Hyundai,2013,96355,Petrol,Automatic,Individual,1,Ahmedabad,0.5
Honda,2017,159686,Electric,Automatic,Dealer,0,Delhi,4.81
Mahindra,2018,22787,Electric,Manual,Dealer,2,Kolkata,3.13
Hyundai,2020,145790,Petrol,Automatic,Individual,1,Pune,1.86
Honda,2021,5905,Diesel,Automatic,Dealer,1,Pune,7.14
Honda,2020,91345,CNG,Manual,Individual,1,Chennai,2.83
Mahindra,2024,95218,CNG,Manual,Individual,2,Mumbai,2.55
Skoda,2023,112025,Diesel,Manual,Dealer,2,Kolkata,5.61
Tata,2016,148481,Diesel,Manual,Individual,2,Delhi,0.5
Maruti,2024,95016,Diesel,Manual,Individual,1,Ahmedabad,2.5
Volkswagen,2022,25551,Diesel,Automatic,Dealer,0,Delhi,9.42
Tata,2022,129157,Petrol,Automatic,Dealer,0,Hyderabad,3.38
Toyota,2016,50437,Electric,Manual,Dealer,1,Bangalore,5.55
Kia,2016,61158,Diesel,Manual,Individual,1,Bangalore,3.93
Toyota,2013,144554,CNG,Automatic,Dealer,2,Mumbai,0.82
Volkswagen,2017,119965,Electric,Manual,Dealer,0,Kolkata,6.53
Toyota,2009,149507,Diesel,Manual,Individual,2,Kolkata,0.5
Kia,2017,35050,Diesel,Manual,Dealer,2,Kolkata,2.11
Honda,2024,183446,Petrol,Manual,Individual,0,Chennai,4.24
Kia,2023,133968,Petrol,Automatic,Individual,2,Delhi,4.42
Maruti,2012,180054,Electric,Manual,Individual,0,Chennai,0.5
Hyundai,2016,129285,Electric,Automatic,Individual,0,Mumbai,2.96
Toyota,2019,26130,CNG,Manual,Individual,0,Ahmedabad,5.26
Maruti,2010,56598,Diesel,Automatic,Dealer,1,Chennai,0.5
Skoda,2023,64824,Diesel,Manual,Dealer,1,Chennai,7.14
Renault,2020,27819,Petrol,Manual,Dealer,0,Kolkata,3.55
Skoda,2024,144241,CNG,Automatic,Individual,0,Mumbai,7.91
Mahindra,2021,82661,Electric,Manual,Dealer,2,Pune,4.56
Mahindra,2023,76695,Diesel,Automatic,Dealer,0,Bangalore,5.99
Tata,2009,110757,Petrol,Manual,Dealer,2,Delhi,0.5
Renault,2023,51238,Petrol,Automatic,Individual,1,Pune,3.63
Kia,2016,14866,Petrol,Automatic,Dealer,2,Delhi,3.67
Kia,2013,125098,Petrol,Manual,Individual,0,Pune,1.82
Toyota,2020,42933,Diesel,Automatic,Dealer,0,Hyderabad,7.26
Toyota,2011,87754,Electric,Automatic,Dealer,2,Ahmedabad,3.0
Toyota,2021,135055,CNG,Manual,Dealer,1,Kolkata,3.62
Toyota,2014,82564,Petrol,Automatic,Dealer,2,Bangalore,2.31
Volkswagen,2021,186961,Diesel,Manual,Individual,0,Delhi,5.02
Volkswagen,2008,192340,CNG,Manual,Individual,0,Hyderabad,0.5
Renault,2018,69202,Diesel,Automatic,Dealer,0,Bangalore,3.03
Mahindra,2009,122782,Diesel,Manual,Dealer,1,Mumbai,0.5
Hyundai,2017,32260,CNG,Automatic,Dealer,1,Ahmedabad,1.26
Honda,2014,199259,Electric,Manual,Dealer,0,Mumbai,2.79
Renault,2020,113146,CNG,Automatic,Individual,0,Bangalore,2.01
Maruti,2008,75107,Electric,Manual,Dealer,1,Pune,0.5
Skoda,2008,51561,Electric,Manual,Dealer,2,Kolkata,2.83
Toyota,2018,20708,CNG,Automatic,Individual,0,Pune,5.37
Maruti,2024,166491,CNG,Manual,Individual,2,Mumbai,0.5
Renault,2008,63430,CNG,Manual,Individual,2,Pune,0.5
Skoda,2016,127803,Electric,Automatic,Individual,1,Kolkata,5.58
Renault,2011,153882,Petrol,Automatic,Dealer,2,Kolkata,0.5
Honda,2017,116970,Electric,Automatic,Individual,2,Bangalore,4.38
Kia,2010,145736,Diesel,Automatic,Individual,0,Delhi,1.6
Tata,2011,183951,Diesel,Manual,Individual,1,Kolkata,0.5
Honda,2010,198232,Diesel,Manual,Dealer,0,Bangalore,0.5
Hyundai,2016,196135,CNG,Manual,Dealer,1,Ahmedabad,0.5
Mahindra,2024,83878,Electric,Manual,Dealer,1,Chennai,6.19
Renault,2022,151303,Diesel,Automatic,Individual,1,Hyderabad,3.36
Mahindra,2008,54318,Diesel,Manual,Dealer,2,Pune,0.5
Volkswagen,2009,39297,Petrol,Manual,Dealer,1,Kolkata,1.37
Toyota,2013,132296,Petrol,Automatic,Dealer,0,Mumbai,2.93
Hyundai,2010,116387,Diesel,Automatic,Dealer,2,Delhi,0.5
Renault,2011,12163,CNG,Manual,Dealer,2,Hyderabad,0.5
Renault,2008,33647,Petrol,Automatic,Dealer,1,Chennai,0.5
Honda,2009,161769,Diesel,Manual,Individual,2,Kolkata,0.5
Honda,2024,175886,CNG,Manual,Individual,2,Hyderabad,1.87
Tata,2019,169934,CNG,Automatic,Individual,0,Hyderabad,1.48
Mahindra,2017,11590,Diesel,Automatic,Individual,0,Chennai,4.54
Renault,2016,141067,Electric,Automatic,Individual,0,Mumbai,3.28
Kia,2012,63871,Petrol,Automatic,Dealer,0,Kolkata,3.02
Toyota,2012,195186,Petrol,Automatic,Dealer,0,Chennai,1.06
Hyundai,2012,17209,CNG,Automatic,Dealer,2,Kolkata,0.5
Tata,2021,48149,CNG,Manual,Dealer,2,Pune,1.38
Renault,2023,137173,Diesel,Manual,Dealer,0,Chennai,3.75
Honda,2022,24781,Diesel,Automatic,Individual,0,Ahmedabad,8.78
Skoda,2008,115973,Electric,Manual,Dealer,1,Kolkata,2.04
Honda,2024,19046,CNG,Manual,Individual,1,Kolkata,5.14
Mahindra,2020,34809,Petrol,Automatic,Dealer,1,Kolkata,3.93
Toyota,2016,36305,Diesel,Manual,Dealer,2,Chennai,3.25
Mahindra,2020,164143,Electric,Manual,Individual,2,Pune,2.5
Hyundai,2019,129303,Electric,Automatic,Individual,2,Pune,3.03
Toyota,2023,66491,Electric,Automatic,Individual,0,Kolkata,9.94
Renault,2010,76654,Petrol,Automatic,Individual,0,Kolkata,0.5
Kia,2017,155570,Diesel,Automatic,Individual,2,Chennai,2.47
Hyundai,2021,77105,CNG,Automatic,Individual,2,Pune,2.67
Tata,2024,168027,Diesel,Manual,Dealer,0,Bangalore,3.15
Honda,2010,62008,Diesel,Manual,Individual,1,Bangalore,1.93
Volkswagen,2023,147381,CNG,Manual,Dealer,1,Pune,5.5
Maruti,2016,125446,Diesel,Manual,Individual,2,Bangalore,0.5
Skoda,2019,123023,Electric,Manual,Dealer,0,Ahmedabad,6.62
Volkswagen,2021,17044,Diesel,Automatic,Individual,1,Kolkata,9.09
Tata,2012,36237,Petrol,Manual,Dealer,2,Delhi,0.5
Mahindra,2023,32713,Petrol,Manual,Dealer,1,Chennai,4.77
Skoda,2010,68273,Petrol,Automatic,Individual,0,Chennai,3.81
Volkswagen,2022,104315,Petrol,Automatic,Dealer,1,Delhi,7.1
Honda,2008,58798,Diesel,Automatic,Dealer,0,Bangalore,1.29
Volkswagen,2020,129006,CNG,Automatic,Individual,2,Mumbai,4.01
Skoda,2012,113840,CNG,Automatic,Individual,2,Hyderabad,1.57
Skoda,2016,159007,Electric,Automatic,Individual,0,Kolkata,7.04
Toyota,2009,99059,Petrol,Automatic,Individual,0,Mumbai,1.82
Toyota,2009,159739,Diesel,Automatic,Individual,1,Ahmedabad,0.5
Kia,2016,53552,CNG,Automatic,Dealer,1,Kolkata,3.08
Toyota,2018,66394,Diesel,Automatic,Individual,1,Bangalore,6.1
Honda,2018,185066,Electric,Manual,Dealer,2,Chennai,1.98
Volkswagen,2019,12020,Petrol,Manual,Dealer,1,Ahmedabad,6.2
Skoda,2023,23258,Diesel,Automatic,Dealer,1,Delhi,9.58
Mahindra,2014,199041,CNG,Manual,Individual,2,Pune,0.5
Tata,2010,33535,CNG,Manual,Individual,1,Chennai,0.5
Hyundai,2014,93518,Diesel,Manual,Individual,1,Kolkata,0.5
Renault,2009,181653,Diesel,Automatic,Dealer,1,Kolkata,0.5
Tata,2016,178430,CNG,Manual,Dealer,0,Ahmedabad,0.5
Hyundai,2022,97913,Diesel,Automatic,Individual,0,Kolkata,4.04
Maruti,2020,62098,Electric,Automatic,Dealer,2,Mumbai,2.8
Maruti,2020,176538,Petrol,Automatic,Individual,0,Hyderabad,1.21
Maruti,2010,102616,Petrol,Automatic,Dealer,0,Pune,0.5
Toyota,2023,25088,Diesel,Automatic,Individual,0,Ahmedabad,9.48
Hyundai,2017,186314,Electric,Automatic,Individual,2,Pune,3.13
Mahindra,2020,35758,Diesel,Manual,Individual,2,Chennai,3.55
Honda,2021,175294,Diesel,Manual,Individual,0,Delhi,4.54
Toyota,2021,138146,CNG,Automatic,Individual,1,Delhi,5.2
Renault,2010,65058,CNG,Automatic,Dealer,2,Hyderabad,0.5
Tata,2020,197006,Electric,Automatic,Dealer,0,Ahmedabad,3.49
Tata,2013,10221,CNG,Manual,Individual,1,Ahmedabad,0.5
Tata,2021,186696,CNG,Automatic,Individual,0,Mumbai,1.31
Mahindra,2013,139329,CNG,Manual,Dealer,2,Chennai,0.5
Mahindra,2017,157141,Electric,Manual,Dealer,0,Kolkata,2.6
Mahindra,2014,94251,CNG,Manual,Dealer,2,Delhi,0.5
Tata,2012,80777,Petrol,Automatic,Dealer,1,Ahmedabad,0.65
Renault,2014,146340,Electric,Automatic,Dealer,0,Mumbai,1.07
Maruti,2010,128118,Diesel,Manual,Dealer,2,Chennai,0.5
Volkswagen,2017,128729,Petrol,Manual,Dealer,0,Chennai,3.46
Tata,2020,102508,Electric,Manual,Dealer,2,Ahmedabad,2.23
Tata,2019,29501,CNG,Automatic,Individual,1,Delhi,3.1
Toyota,2010,12295,Petrol,Automatic,Dealer,0,Ahmedabad,3.45
Maruti,2023,112035,Electric,Automatic,Dealer,2,Ahmedabad,3.18
Volkswagen,2008,16682,CNG,Automatic,Dealer,0,Kolkata,2.69
Skoda,2010,183913,Electric,Automatic,Dealer,2,Delhi,2.78
Hyundai,2009,187822,CNG,Manual,Dealer,1,Delhi,0.5
Volkswagen,2022,75877,CNG,Manual,Dealer,2,Bangalore,5.27
Toyota,2022,119880,Electric,Manual,Dealer,1,Ahmedabad,6.72
Hyundai,2008,185882,Diesel,Automatic,Individual,1,Delhi,0.5
Renault,2016,128896,Electric,Manual,Dealer,2,Chennai,1.54
Honda,2010,88827,Diesel,Automatic,Dealer,2,Chennai,0.98
Kia,2014,113087,Electric,Automatic,Individual,1,Delhi,2.79
Volkswagen,2021,30987,Electric,Automatic,Individual,2,Bangalore,9.23
Renault,2015,93542,Electric,Manual,Dealer,0,Delhi,1.67
Renault,2017,192265,Diesel,Manual,Dealer,0,Ahmedabad,0.54
Kia,2011,74359,Electric,Manual,Dealer,1,Bangalore,1.59
Tata,2018,151614,Diesel,Automatic,Individual,1,Bangalore,1.57
Skoda,2019,171863,Petrol,Automatic,Individual,1,Ahmedabad,5.17
Toyota,2009,187057,CNG,Manual,Dealer,2,Kolkata,0.5
Mahindra,2015,155303,Diesel,Automatic,Individual,0,Mumbai,1.47
Skoda,2012,62103,Electric,Automatic,Dealer,0,Ahmedabad,6.3
Honda,2020,87296,Diesel,Automatic,Dealer,0,Hyderabad,5.85
Kia,2017,87590,Electric,Manual,Dealer,1,Kolkata,3.86
Kia,2010,34629,Diesel,Manual,Dealer,0,Chennai,2.56
Maruti,2024,68341,Electric,Manual,Dealer,0,Hyderabad,5.18
Toyota,2020,148282,Petrol,Manual,Individual,0,Kolkata,3.55
Toyota,2014,28060,Petrol,Manual,Individual,2,Mumbai,2.64
Toyota,2017,43698,Electric,Automatic,Dealer,2,Chennai,7.41
Mahindra,2009,77762,Electric,Automatic,Individual,0,Chennai,2.55
Skoda,2015,136722,CNG,Manual,Dealer,1,Mumbai,1.39
Mahindra,2008,81091,Petrol,Automatic,Individual,1,Delhi,0.5
Honda,2023,32794,Petrol,Manual,Individual,1,Hyderabad,6.04
Renault,2016,16715,Petrol,Manual,Dealer,2,Kolkata,0.5
Hyundai,2014,17867,Electric,Automatic,Dealer,0,Chennai,4.15
Volkswagen,2021,186338,Diesel,Manual,Individual,2,Bangalore,4.79
Hyundai,2020,134203,CNG,Automatic,Individual,2,Pune,0.5
Mahindra,2021,9785,Electric,Manual,Individual,1,Hyderabad,5.92
Mahindra,2008,129304,Electric,Manual,Individual,2,Mumbai,0.5
Mahindra,2011,81171,CNG,Automatic,Dealer,2,Delhi,0.5
Skoda,2010,94636,CNG,Manual,Dealer,1,Chennai,0.65
Maruti,2017,108575,CNG,Automatic,Dealer,0,Ahmedabad,0.5
Honda,2015,35612,CNG,Automatic,Dealer,0,Kolkata,4.38
Hyundai,2011,158330,Petrol,Automatic,Dealer,1,Delhi,0.5
Maruti,2017,36451,CNG,Manual,Individual,2,Chennai,0.5
Honda,2019,181884,Petrol,Manual,Individual,0,Bangalore,2.34
Skoda,2022,46575,Petrol,Manual,Dealer,1,Delhi,7.52
Toyota,2011,24138,Electric,Automatic,Dealer,2,Hyderabad,3.52
Mahindra,2020,176569,Electric,Automatic,Dealer,0,Delhi,5.53
Maruti,2015,91403,Petrol,Manual,Dealer,0,Kolkata,0.5
Mahindra,2016,78011,CNG,Automatic,Dealer,1,Chennai,1.14
Mahindra,2019,178835,Diesel,Automatic,Dealer,2,Bangalore,2.15
Hyundai,2010,85327,Diesel,Manual,Dealer,2,Mumbai,0.5
Mahindra,2016,9503,CNG,Automatic,Dealer,1,Chennai,2.36
Skoda,2017,150476,Petrol,Automatic,Dealer,1,Mumbai,4.48
Skoda,2009,123613,Electric,Automatic,Dealer,2,Delhi,2.75
Toyota,2012,188630,Diesel,Automatic,Individual,1,Bangalore,1.73
Volkswagen,2010,70900,Electric,Manual,Individual,2,Pune,3.27
Tata,2022,144738,Petrol,Manual,Dealer,0,Mumbai,2.82
Mahindra,2015,117262,CNG,Automatic,Individual,2,Chennai,0.5
Honda,2016,197559,Petrol,Automatic,Individual,2,Pune,1.7
Kia,2015,97883,Diesel,Manual,Dealer,1,Ahmedabad,1.06
Hyundai,2010,105248,Diesel,Automatic,Individual,2,Ahmedabad,0.5
Honda,2021,155217,Petrol,Manual,Dealer,2,Pune,2.37
Kia,2008,153983,Electric,Manual,Individual,1,Bangalore,0.5
Toyota,2015,109921,CNG,Automatic,Dealer,0,Hyderabad,3.14
Kia,2024,136725,Electric,Automatic,Individual,2,Pune,6.65
Kia,2010,109123,CNG,Automatic,Dealer,1,Bangalore,0.5
Mahindra,2021,155396,Electric,Manual,Individual,1,Delhi,3.47
Mahindra,2012,150001,Petrol,Automatic,Dealer,0,Mumbai,0.57
Kia,2020,9836,Diesel,Manual,Individual,1,Kolkata,5.53
Volkswagen,2008,140755,Petrol,Manual,Individual,1,Mumbai,0.5
Renault,2011,50187,Diesel,Automatic,Dealer,0,Hyderabad,1.5
Tata,2011,55295,Petrol,Automatic,Dealer,1,Hyderabad,0.5
Toyota,2024,157587,Electric,Manual,Dealer,1,Pune,7.34
Skoda,2023,197800,CNG,Manual,Dealer,1,Delhi,4.75
Mahindra,2022,153948,Electric,Manual,Dealer,2,Ahmedabad,3.08
Maruti,2019,17350,Electric,Automatic,Individual,2,Bangalore,3.26
Kia,2023,100191,Petrol,Automatic,Individual,0,Ahmedabad,6.67
Renault,2013,182655,Electric,Manual,Individual,2,Delhi,0.5
Mahindra,2024,58846,Diesel,Manual,Individual,1,Bangalore,5.21
Kia,2024,15047,Diesel,Manual,Individual,1,Ahmedabad,6.93
Toyota,2023,22651,CNG,Automatic,Dealer,0,Bangalore,8.6
Tata,2015,31891,CNG,Manual,Dealer,2,Mumbai,0.5
Maruti,2017,131586,CNG,Automatic,Dealer,0,Ahmedabad,0.5
Kia,2012,59069,CNG,Manual,Dealer,0,Chennai,0.71
Kia,2014,196171,CNG,Manual,Dealer,0,Ahmedabad,0.5
Honda,2012,21211,Diesel,Automatic,Individual,1,Hyderabad,3.73
Toyota,2013,187587,Petrol,Automatic,Individual,1,Bangalore,1.7
Mahindra,2021,88848,CNG,Manual,Dealer,2,Kolkata,1.97
Honda,2015,116760,Diesel,Automatic,Dealer,2,Hyderabad,2.9
Mahindra,2023,123509,Petrol,Automatic,Dealer,0,Hyderabad,4.96
Volkswagen,2010,37508,Diesel,Automatic,Dealer,1,Hyderabad,4.48
Tata,2012,103550,Electric,Automatic,Individual,0,Delhi,1.69
Volkswagen,2024,145433,Petrol,Automatic,Dealer,0,Delhi,8.18
Mahindra,2012,50788,Diesel,Manual,Dealer,2,Pune,0.5
Hyundai,2009,95768,Electric,Automatic,Dealer,1,Mumbai,0.5
Kia,2023,91198,Petrol,Automatic,Individual,0,Chennai,6.73
Tata,2010,83910,CNG,Automatic,Dealer,1,Ahmedabad,0.5
Renault,2012,163784,CNG,Manual,Dealer,1,Pune,0.5
Kia,2019,99967,Electric,Automatic,Individual,1,Mumbai,5.5
Skoda,2016,92413,CNG,Manual,Individual,1,Bangalore,2.61
Toyota,2013,36026,Petrol,Automatic,Individual,1,Chennai,4.14
Skoda,2018,29233,Electric,Automatic,Dealer,1,Delhi,9.06
Hyundai,2010,85115,Diesel,Automatic,Individual,1,Delhi,0.5
Volkswagen,2018,199135,Petrol,Manual,Dealer,2,Ahmedabad,2.53
Skoda,2020,86213,Diesel,Manual,Individual,2,Mumbai,5.5
Skoda,2008,62190,CNG,Manual,Dealer,1,Bangalore,0.5
Kia,2023,35549,CNG,Automatic,Dealer,1,Hyderabad,6.1
Tata,2018,64660,Electric,Manual,Dealer,2,Chennai,1.89
Skoda,2019,55506,Diesel,Automatic,Dealer,0,Bangalore,8.65
Maruti,2013,50230,CNG,Manual,Dealer,0,Ahmedabad,0.5
Kia,2022,21224,Diesel,Automatic,Individual,1,Chennai,6.77
Hyundai,2019,111709,Electric,Automatic,Individual,0,Ahmedabad,4.36
Honda,2008,151516,Electric,Automatic,Individual,1,Kolkata,1.03
Renault,2015,37099,Diesel,Automatic,Dealer,2,Pune,1.16
Mahindra,2024,7163,CNG,Manual,Dealer,1,Delhi,4.28
Tata,2012,165829,Diesel,Manual,Individual,2,Kolkata,0.5
Skoda,2009,34285,Petrol,Automatic,Dealer,0,Chennai,3.81
Skoda,2018,145933,Petrol,Manual,Individual,2,Kolkata,2.76
Maruti,2024,5378,Petrol,Manual,Individual,1,Delhi,2.98
Tata,2018,15061,Diesel,Automatic,Individual,2,Pune,3.09
Maruti,2021,185383,Diesel,Automatic,Individual,2,Bangalore,0.5
Toyota,2008,91514,Electric,Manual,Individual,1,Hyderabad,0.82
Tata,2014,177960,Petrol,Automatic,Individual,1,Ahmedabad,0.5
Hyundai,2012,163986,Diesel,Automatic,Individual,1,Hyderabad,0.5
Toyota,2014,131489,CNG,Manual,Individual,2,Bangalore,0.5
Maruti,2019,76079,Petrol,Automatic,Dealer,1,Pune,2.1
Kia,2021,71168,Diesel,Automatic,Individual,1,Mumbai,6.46
Honda,2016,199722,Diesel,Manual,Dealer,2,Hyderabad,0.5
Honda,2021,8574,Petrol,Manual,Dealer,0,Pune,5.66
Toyota,2018,117022,CNG,Manual,Individual,2,Bangalore,1.44
Renault,2020,41661,Electric,Manual,Individual,2,Bangalore,3.37
Renault,2018,189184,CNG,Automatic,Dealer,0,Pune,0.5
Honda,2008,16798,Petrol,Automatic,Individual,0,Hyderabad,1.71
Hyundai,2017,14447,Electric,Manual,Individual,1,Kolkata,2.87
Volkswagen,2022,61866,CNG,Manual,Dealer,2,Kolkata,5.63
Volkswagen,2008,110001,CNG,Manual,Individual,1,Ahmedabad,0.52
Maruti,2010,193294,Diesel,Manual,Individual,1,Delhi,0.5
Kia,2009,110344,Diesel,Manual,Individual,1,Ahmedabad,0.5
Honda,2012,78648,Diesel,Automatic,Dealer,2,Chennai,1.97
Kia,2011,163760,Electric,Automatic,Individual,2,Delhi,0.94
Skoda,2012,174109,Petrol,Automatic,Dealer,2,Ahmedabad,1.5
Volkswagen,2011,90272,Petrol,Manual,Dealer,1,Kolkata,1.75
Honda,2014,13732,CNG,Automatic,Dealer,0,Ahmedabad,3.54
Volkswagen,2008,158537,Diesel,Manual,Dealer,2,Mumbai,0.5
Toyota,2008,105770,Petrol,Manual,Individual,2,Delhi,0.5
Honda,2009,171148,Petrol,Automatic,Individual,1,Chennai,0.5
Hyundai,2019,39991,Electric,Manual,Dealer,1,Delhi,4.43
Maruti,2023,176639,Electric,Automatic,Individual,2,Pune,3.23
Volkswagen,2012,143609,CNG,Automatic,Individual,0,Kolkata,3.82
Renault,2012,137086,CNG,Manual,Dealer,0,Hyderabad,0.5
Hyundai,2008,186550,Petrol,Manual,Dealer,0,Chennai,0.5
Volkswagen,2024,138933,Electric,Automatic,Dealer,1,Mumbai,9.51
Volkswagen,2018,167051,Diesel,Automatic,Dealer,1,Pune,6.49
Mahindra,2018,118996,CNG,Automatic,Dealer,1,Mumbai,1.41
Kia,2008,55905,CNG,Automatic,Individual,1,Delhi,0.5
